ENSG00000000003 ENST00000373020
ENSG00000000005 ENST00000373031
ENSG00000000419 ENST00000371588
ENSG00000000457 ENST00000367772
ENSG00000000460 ENST00000286031
ENSG00000000938 ENST00000374005
ENSG00000000971 ENST00000367429
ENSG00000001036 ENST00000002165
ENSG00000001084 ENST00000229416
ENSG00000001167 ENST00000341376
ENSG00000001460 ENST00000374409
ENSG00000001461 ENST00000374399
ENSG00000001497 ENST00000374811
ENSG00000001561 ENST00000321037
ENSG00000001617 ENST00000002829
ENSG00000001626 ENST00000003084
ENSG00000001629 ENST00000265742
ENSG00000001630 ENST00000003100
ENSG00000001631 ENST00000394507
ENSG00000002016 ENST00000358495
ENSG00000002330 ENST00000394532
ENSG00000002549 ENST00000226299
ENSG00000002586 ENST00000381192
ENSG00000002587 ENST00000002596
ENSG00000002726 ENST00000416793
ENSG00000002745 ENST00000222462
ENSG00000002746 ENST00000395891
ENSG00000002822 ENST00000406869
ENSG00000002834 ENST00000318008
ENSG00000002919 ENST00000393405
ENSG00000002933 ENST00000484928
ENSG00000003056 ENST00000000412
ENSG00000003096 ENST00000539496
ENSG00000003137 ENST00000001146
ENSG00000003147 ENST00000402384
ENSG00000003249 ENST00000568838
ENSG00000003393 ENST00000264276
ENSG00000003400 ENST00000286186
ENSG00000003402 ENST00000309955
ENSG00000003436 ENST00000233156
ENSG00000003509 ENST00000002125
ENSG00000003756 ENST00000347869
ENSG00000003987 ENST00000180173
ENSG00000003989 ENST00000004531
ENSG00000004059 ENST00000000233
ENSG00000004139 ENST00000585482
ENSG00000004142 ENST00000540200
ENSG00000004399 ENST00000324093
ENSG00000004455 ENST00000354858
ENSG00000004468 ENST00000226279
ENSG00000004478 ENST00000001008
ENSG00000004487 ENST00000400181
ENSG00000004534 ENST00000266022
ENSG00000004660 ENST00000158166
ENSG00000004700 ENST00000444129
ENSG00000004766 ENST00000305866
ENSG00000004776 ENST00000592984
ENSG00000004777 ENST00000314737
ENSG00000004779 ENST00000570319
ENSG00000004799 ENST00000005178
ENSG00000004809 ENST00000368919
ENSG00000004838 ENST00000231749
ENSG00000004846 ENST00000404938
ENSG00000004848 ENST00000379044
ENSG00000004864 ENST00000416240
ENSG00000004866 ENST00000265437
ENSG00000004897 ENST00000531206
ENSG00000004939 ENST00000262418
ENSG00000004948 ENST00000359558
ENSG00000004961 ENST00000321143
ENSG00000004975 ENST00000005340
ENSG00000005001 ENST00000161006
ENSG00000005007 ENST00000599848
ENSG00000005020 ENST00000345317
ENSG00000005059 ENST00000394650
ENSG00000005073 ENST00000006015
ENSG00000005100 ENST00000225296
ENSG00000005102 ENST00000318579
ENSG00000005108 ENST00000423059
ENSG00000005156 ENST00000378526
ENSG00000005175 ENST00000005386
ENSG00000005187 ENST00000289416
ENSG00000005189 ENST00000261377
ENSG00000005194 ENST00000394391
ENSG00000005206 ENST00000613503
ENSG00000005243 ENST00000621465
ENSG00000005249 ENST00000265717
ENSG00000005302 ENST00000312196
ENSG00000005339 ENST00000262367
ENSG00000005379 ENST00000343736
ENSG00000005381 ENST00000225275
ENSG00000005421 ENST00000222381
ENSG00000005436 ENST00000321027
ENSG00000005448 ENST00000348227
ENSG00000005469 ENST00000419147
ENSG00000005471 ENST00000265723
ENSG00000005483 ENST00000311117
ENSG00000005486 ENST00000006777
ENSG00000005513 ENST00000293894
ENSG00000005700 ENST00000306270
ENSG00000005801 ENST00000399602
ENSG00000005810 ENST00000544440
ENSG00000005812 ENST00000355619
ENSG00000005844 ENST00000356798
ENSG00000005882 ENST00000503176
ENSG00000005884 ENST00000007722
